MedName,LightSen,Date,StockOut,StockIn,Stock
Acupan 30 mg,No,7/08/2015,-10,0,17
Acupan 30 mg,No,8/08/2015,-1,5,21
Acupan 30 mg,No,9/08/2015,-8,0,13
Acupan 30 mg,No,10/08/2015,-3,0,10
Acupan 30 mg,No,11/08/2015,-1,10,19
Acupan 30 mg,No,12/08/2015,-14,15,20
Acupan 30 mg,No,13/08/2015,-6,5,19
Acupan 30 mg,No,14/08/2015,-2,5,22
Acupan 30 mg,No,15/08/2015,-15,15,22
Acupan 30 mg,No,16/08/2015,-3,5,24
Acupan 30 mg,No,17/08/2015,-15,10,19
Acupan 30 mg,No,18/08/2015,-8,5,16
Acupan 30 mg,No,19/08/2015,-8,0,8
Acupan 30 mg,No,20/08/2015,-13,15,10
Acupan 30 mg,No,21/08/2015,-2,15,23
Acupan 30 mg,No,22/08/2015,-6,10,27
Acupan 30 mg,No,23/08/2015,-9,15,33
Acupan 30 mg,No,24/08/2015,-2,15,46
Acupan 30 mg,No,25/08/2015,0,10,56
Acupan 30 mg,No,26/08/2015,-6,5,55
Acupan 30 mg,No,27/08/2015,-9,10,56
Acupan 30 mg,No,28/08/2015,-15,5,46
Acupan 30 mg,No,29/08/2015,-8,0,38
Acupan 30 mg,No,30/08/2015,-6,0,32
Acupan 30 mg,No,31/08/2015,-11,10,31
Acupan 30 mg,No,1/09/2015,-12,0,19
Acupan 30 mg,No,2/09/2015,-15,5,9
Acupan 30 mg,No,3/09/2015,-3,10,16
Acupan 30 mg,No,4/09/2015,-4,10,22
Acupan 30 mg,No,5/09/2015,-13,5,14
Acupan 30 mg,No,6/09/2015,-13,5,6
Acupan 30 mg,No,7/09/2015,-9,10,7
Acupan 30 mg,No,8/09/2015,-4,5,8
Acupan 30 mg,No,9/09/2015,-15,0,-7
Acupan 30 mg,No,10/09/2015,-4,5,-6
Acupan 30 mg,No,11/09/2015,-2,10,2
Acupan 30 mg,No,12/09/2015,-5,15,12
Acupan 30 mg,No,13/09/2015,-1,10,21
Acupan 30 mg,No,14/09/2015,0,5,26
Acupan 30 mg,No,15/09/2015,-2,15,39
Acupan 30 mg,No,16/09/2015,-7,0,32
Acupan 30 mg,No,17/09/2015,-1,0,31
Acupan 30 mg,No,18/09/2015,-6,5,30
Acupan 30 mg,No,19/09/2015,-6,10,34
Acupan 30 mg,No,20/09/2015,-1,0,33
Acupan 30 mg,No,21/09/2015,-13,0,20
Acupan 30 mg,No,22/09/2015,-4,5,21
Acupan 30 mg,No,23/09/2015,-4,0,17
Acupan 30 mg,No,24/09/2015,-8,5,14
Acupan 30 mg,No,25/09/2015,-10,15,19
Acupan 30 mg,No,26/09/2015,-12,0,7
Acupan 30 mg,No,27/09/2015,-7,0,0
Acupan 30 mg,No,28/09/2015,-9,5,-4
Acupan 30 mg,No,29/09/2015,-5,10,1
Acupan 30 mg,No,30/09/2015,-8,5,-2
Acupan 30 mg,No,1/10/2015,-4,0,-6
Acupan 30 mg,No,2/10/2015,-11,10,-7
Acupan 30 mg,No,3/10/2015,-1,5,-3
Acupan 30 mg,No,4/10/2015,-13,0,-16
Acupan 30 mg,No,5/10/2015,-12,15,-13
Acupan 30 mg,No,6/10/2015,-8,0,-21
Acupan 30 mg,No,7/10/2015,-13,15,-19
Acupan 30 mg,No,8/10/2015,-6,10,-15
Acupan 30 mg,No,9/10/2015,0,10,-5
Acupan 30 mg,No,10/10/2015,-9,15,1
Acupan 30 mg,No,11/10/2015,-6,10,5
Acupan 30 mg,No,12/10/2015,-3,15,17
Acupan 30 mg,No,13/10/2015,-5,10,22
Acupan 30 mg,No,14/10/2015,-14,15,23
Acupan 30 mg,No,15/10/2015,-8,0,15
Acupan 30 mg,No,16/10/2015,-4,15,26
Acupan 30 mg,No,17/10/2015,-10,15,31
Acupan 30 mg,No,18/10/2015,-6,5,30
Acupan 30 mg,No,19/10/2015,-6,5,29
Acupan 30 mg,No,20/10/2015,-14,0,15
Acupan 30 mg,No,21/10/2015,-12,0,3
Acupan 30 mg,No,22/10/2015,-10,15,8
Acupan 30 mg,No,23/10/2015,-10,10,8
Acupan 30 mg,No,24/10/2015,-3,5,10
Acupan 30 mg,No,25/10/2015,0,15,25
Acupan 30 mg,No,26/10/2015,-12,5,18
Acupan 30 mg,No,27/10/2015,-1,15,32
Acupan 30 mg,No,28/10/2015,-8,15,39
Acupan 30 mg,No,29/10/2015,-10,15,44
Acupan 30 mg,No,30/10/2015,-15,5,34
Acupan 30 mg,No,31/10/2015,-5,15,44
Acupan 30 mg,No,1/11/2015,-8,0,36
Acupan 30 mg,No,2/11/2015,-6,5,35
Acupan 30 mg,No,3/11/2015,-13,15,37
Acupan 30 mg,No,4/11/2015,0,5,42
Acupan 30 mg,No,5/11/2015,-9,10,43
Acupan 30 mg,No,6/11/2015,-6,10,47
Acupan 30 mg,No,7/11/2015,-7,0,40
Acupan 30 mg,No,8/11/2015,-14,0,26
Acupan 30 mg,No,9/11/2015,-3,10,33
Acupan 30 mg,No,10/11/2015,-2,5,36
Acupan 30 mg,No,11/11/2015,-13,5,28
Acupan 30 mg,No,12/11/2015,-3,10,35
Acupan 30 mg,No,13/11/2015,-5,0,30
Acupan 30 mg,No,14/11/2015,-5,5,30
Acupan 30 mg,No,15/11/2015,-15,10,25
Acupan 30 mg,No,16/11/2015,-12,15,28
Acupan 30 mg,No,17/11/2015,-2,5,31
Acupan 30 mg,No,18/11/2015,-12,15,34
Acupan 30 mg,No,19/11/2015,-12,0,22
Acupan 30 mg,No,20/11/2015,-1,10,31
Acupan 30 mg,No,21/11/2015,-15,5,21
Acupan 30 mg,No,22/11/2015,-15,10,16
Acupan 30 mg,No,23/11/2015,-13,15,18
Acupan 30 mg,No,24/11/2015,-14,0,4
Acupan 30 mg,No,25/11/2015,-11,15,8
Acupan 30 mg,No,26/11/2015,-4,15,19
Acupan 30 mg,No,27/11/2015,-14,0,5
Acupan 30 mg,No,28/11/2015,-9,10,6
Acupan 30 mg,No,29/11/2015,-13,0,-7
Acupan 30 mg,No,30/11/2015,-2,10,1
Acupan 30 mg,No,1/12/2015,0,15,16
Acupan 30 mg,No,2/12/2015,-15,10,11
Acupan 30 mg,No,3/12/2015,-15,0,-4
Acupan 30 mg,No,4/12/2015,-1,5,0
Acupan 30 mg,No,5/12/2015,-11,5,-6
Acupan 30 mg,No,6/12/2015,0,0,-6
Acupan 30 mg,No,7/12/2015,-10,0,-16
Acupan 30 mg,No,8/12/2015,-9,10,-15
Acupan 30 mg,No,9/12/2015,-5,15,-5
Acupan 30 mg,No,10/12/2015,-15,15,-5
Acupan 30 mg,No,11/12/2015,-1,10,4
Acupan 30 mg,No,12/12/2015,-8,0,-4
Acupan 30 mg,No,13/12/2015,-6,15,5
Acupan 30 mg,No,14/12/2015,0,0,5
Acupan 30 mg,No,15/12/2015,-7,15,13
Acupan 30 mg,No,16/12/2015,-5,10,18
Acupan 30 mg,No,17/12/2015,-5,5,18
Acupan 30 mg,No,18/12/2015,-1,15,32
Acupan 30 mg,No,19/12/2015,-15,5,22
Acupan 30 mg,No,20/12/2015,-5,0,17
Acupan 30 mg,No,21/12/2015,-6,15,26
Acupan 30 mg,No,22/12/2015,-12,10,24
Acupan 30 mg,No,23/12/2015,0,5,29
Acupan 30 mg,No,24/12/2015,-11,5,23
Acupan 30 mg,No,25/12/2015,-4,15,34
Acupan 30 mg,No,26/12/2015,-11,15,38
Acupan 30 mg,No,27/12/2015,-1,10,47
Acupan 30 mg,No,28/12/2015,-8,10,49
Acupan 30 mg,No,29/12/2015,-14,5,40
Acupan 30 mg,No,30/12/2015,-1,15,54
Acupan 30 mg,No,31/12/2015,0,10,64
Adoport 1 mg,Yes,1/01/2015,-13,110,97
Adoport 1 mg,Yes,2/01/2015,-4,5,98
Adoport 1 mg,Yes,3/01/2015,-2,0,96
Adoport 1 mg,Yes,4/01/2015,-2,15,109
Adoport 1 mg,Yes,5/01/2015,-6,5,108
Adoport 1 mg,Yes,6/01/2015,-12,5,101
Adoport 1 mg,Yes,7/01/2015,-10,15,106
Adoport 1 mg,Yes,8/01/2015,-13,5,98
Adoport 1 mg,Yes,9/01/2015,-1,5,102
Adoport 1 mg,Yes,10/01/2015,-8,5,99
Adoport 1 mg,Yes,11/01/2015,-4,0,95
Adoport 1 mg,Yes,12/01/2015,-5,0,90
Adoport 1 mg,Yes,13/01/2015,-2,0,88
Adoport 1 mg,Yes,14/01/2015,-10,10,88
Adoport 1 mg,Yes,15/01/2015,-9,10,89
Adoport 1 mg,Yes,16/01/2015,-13,5,81
Adoport 1 mg,Yes,17/01/2015,-8,5,78
Adoport 1 mg,Yes,18/01/2015,-6,15,87
Adoport 1 mg,Yes,19/01/2015,-2,15,100
Adoport 1 mg,Yes,20/01/2015,-3,5,102
Adoport 1 mg,Yes,21/01/2015,-10,10,102
Adoport 1 mg,Yes,22/01/2015,-1,15,116
Adoport 1 mg,Yes,23/01/2015,-12,10,114
Adoport 1 mg,Yes,24/01/2015,-14,15,115
Adoport 1 mg,Yes,25/01/2015,-15,5,105
Adoport 1 mg,Yes,26/01/2015,-3,10,112
Adoport 1 mg,Yes,27/01/2015,-4,10,118
Adoport 1 mg,Yes,28/01/2015,-14,0,104
Adoport 1 mg,Yes,29/01/2015,-8,0,96
Adoport 1 mg,Yes,30/01/2015,-8,0,88
Adoport 1 mg,Yes,31/01/2015,0,5,93
Adoport 1 mg,Yes,1/02/2015,-3,10,100
Adoport 1 mg,Yes,2/02/2015,-15,10,95
Adoport 1 mg,Yes,3/02/2015,-14,5,86
Adoport 1 mg,Yes,4/02/2015,-13,0,73
Adoport 1 mg,Yes,5/02/2015,-8,0,65
Adoport 1 mg,Yes,6/02/2015,-3,5,67
Adoport 1 mg,Yes,7/02/2015,-7,10,70
Adoport 1 mg,Yes,8/02/2015,-8,15,77
Adoport 1 mg,Yes,9/02/2015,-14,15,78
Adoport 1 mg,Yes,10/02/2015,-8,5,75
Adoport 1 mg,Yes,11/02/2015,-6,15,84
Adoport 1 mg,Yes,12/02/2015,-8,10,86
Adoport 1 mg,Yes,13/02/2015,-12,0,74
Adoport 1 mg,Yes,14/02/2015,-5,15,84
Adoport 1 mg,Yes,15/02/2015,-9,0,75
Adoport 1 mg,Yes,16/02/2015,-2,10,83
Adoport 1 mg,Yes,17/02/2015,-2,0,81
Adoport 1 mg,Yes,18/02/2015,-8,15,88
Adoport 1 mg,Yes,19/02/2015,-7,0,81
Adoport 1 mg,Yes,20/02/2015,0,0,81
Adoport 1 mg,Yes,21/02/2015,-4,15,92
Adoport 1 mg,Yes,22/02/2015,-9,0,83
Adoport 1 mg,Yes,23/02/2015,-5,10,88
Adoport 1 mg,Yes,24/02/2015,-9,5,84
Adoport 1 mg,Yes,25/02/2015,-15,15,84
Adoport 1 mg,Yes,26/02/2015,-15,5,74
Adoport 1 mg,Yes,27/02/2015,-10,5,69
Adoport 1 mg,Yes,28/02/2015,-4,0,65
Adoport 1 mg,Yes,1/03/2015,-15,10,60
Adoport 1 mg,Yes,2/03/2015,-12,10,58
Adoport 1 mg,Yes,3/03/2015,-13,15,60
Adoport 1 mg,Yes,4/03/2015,-3,0,57
Adoport 1 mg,Yes,5/03/2015,-2,5,60
Adoport 1 mg,Yes,6/03/2015,-3,15,72
Adoport 1 mg,Yes,7/03/2015,-9,15,78
Adoport 1 mg,Yes,8/03/2015,-11,0,67
Adoport 1 mg,Yes,9/03/2015,-3,5,69
Adoport 1 mg,Yes,10/03/2015,-10,10,69
Adoport 1 mg,Yes,11/03/2015,-5,0,64
Adoport 1 mg,Yes,12/03/2015,-4,5,65
Adoport 1 mg,Yes,13/03/2015,-14,0,51
Adoport 1 mg,Yes,14/03/2015,-11,5,45
Adoport 1 mg,Yes,15/03/2015,-9,5,41
Adoport 1 mg,Yes,16/03/2015,-7,0,34
Adoport 1 mg,Yes,17/03/2015,-15,15,34
Adoport 1 mg,Yes,18/03/2015,0,0,34
Adoport 1 mg,Yes,19/03/2015,-10,10,34
Adoport 1 mg,Yes,20/03/2015,-4,15,45
Adoport 1 mg,Yes,21/03/2015,-7,10,48
Adoport 1 mg,Yes,22/03/2015,-14,15,49
Adoport 1 mg,Yes,23/03/2015,0,0,49
Adoport 1 mg,Yes,24/03/2015,-3,10,56
Adoport 1 mg,Yes,25/03/2015,-13,15,58
Adoport 1 mg,Yes,26/03/2015,-3,0,55
Adoport 1 mg,Yes,27/03/2015,-14,0,41
Adoport 1 mg,Yes,28/03/2015,-8,15,48
Adoport 1 mg,Yes,29/03/2015,-2,15,61
Adoport 1 mg,Yes,30/03/2015,-2,5,64
Adoport 1 mg,Yes,31/03/2015,-11,15,68
Adoport 1 mg,Yes,1/04/2015,-6,5,67
Adoport 1 mg,Yes,2/04/2015,-15,5,57
Adoport 1 mg,Yes,3/04/2015,-3,15,69
Adoport 1 mg,Yes,4/04/2015,-10,0,59
Adoport 1 mg,Yes,5/04/2015,-6,0,53
Adoport 1 mg,Yes,6/04/2015,-11,15,57
Adoport 1 mg,Yes,7/04/2015,-8,0,49
Adoport 1 mg,Yes,8/04/2015,-7,5,47
Adoport 1 mg,Yes,9/04/2015,-14,0,33
Adoport 1 mg,Yes,10/04/2015,-1,0,32
Adoport 1 mg,Yes,11/04/2015,-6,10,36
Adoport 1 mg,Yes,12/04/2015,-9,10,37
Adoport 1 mg,Yes,13/04/2015,0,10,47
Adoport 1 mg,Yes,14/04/2015,-10,15,52
Adoport 1 mg,Yes,15/04/2015,-14,10,48
Adoport 1 mg,Yes,16/04/2015,-8,5,45
Adoport 1 mg,Yes,17/04/2015,-2,5,48
Adoport 1 mg,Yes,18/04/2015,-6,5,47
Adoport 1 mg,Yes,19/04/2015,-10,15,52
Adoport 1 mg,Yes,20/04/2015,-11,10,51
Adoport 1 mg,Yes,21/04/2015,-7,0,44
Adoport 1 mg,Yes,22/04/2015,-13,0,31
Adoport 1 mg,Yes,23/04/2015,-7,0,24
Adoport 1 mg,Yes,24/04/2015,0,5,29
Adoport 1 mg,Yes,25/04/2015,-14,5,20
Adoport 1 mg,Yes,26/04/2015,-3,15,32
Adoport 1 mg,Yes,27/04/2015,-5,0,27
Adoport 1 mg,Yes,28/04/2015,-12,15,30
Adoport 1 mg,Yes,29/04/2015,-15,0,15
Adoport 1 mg,Yes,30/04/2015,-15,15,15
Adoport 1 mg,Yes,1/05/2015,-2,15,28
Adoport 1 mg,Yes,2/05/2015,-9,0,19
Adoport 1 mg,Yes,3/05/2015,-9,15,25
Adoport 1 mg,Yes,4/05/2015,-4,5,26
Adoport 1 mg,Yes,5/05/2015,-11,10,25
Adoport 1 mg,Yes,6/05/2015,-3,5,27
Adoport 1 mg,Yes,7/05/2015,-6,10,31
Adoport 1 mg,Yes,8/05/2015,-8,0,23
Adoport 1 mg,Yes,9/05/2015,-8,0,15
Adoport 1 mg,Yes,10/05/2015,-8,15,22
Adoport 1 mg,Yes,11/05/2015,-2,15,35
Adoport 1 mg,Yes,12/05/2015,-8,5,32
Adoport 1 mg,Yes,13/05/2015,-15,5,22
Adoport 1 mg,Yes,14/05/2015,-3,10,29
Adoport 1 mg,Yes,15/05/2015,-1,0,28
Adoport 1 mg,Yes,16/05/2015,-8,15,35
Adoport 1 mg,Yes,17/05/2015,-1,10,44
Adoport 1 mg,Yes,18/05/2015,-13,15,46
Adoport 1 mg,Yes,19/05/2015,-10,15,51
Adoport 1 mg,Yes,20/05/2015,-12,0,39
Adoport 1 mg,Yes,21/05/2015,-11,0,28
Adoport 1 mg,Yes,22/05/2015,-9,5,24
Adoport 1 mg,Yes,23/05/2015,-15,10,19
Adoport 1 mg,Yes,24/05/2015,-10,5,14
Adoport 1 mg,Yes,25/05/2015,-9,15,20
Adoport 1 mg,Yes,26/05/2015,-7,5,18
Adoport 1 mg,Yes,27/05/2015,-12,15,21
Adoport 1 mg,Yes,28/05/2015,-11,0,10
Adoport 1 mg,Yes,29/05/2015,-1,0,9
Adoport 1 mg,Yes,30/05/2015,-2,10,17
Adoport 1 mg,Yes,31/05/2015,-3,10,24
Adoport 1 mg,Yes,1/06/2015,-10,10,24
Adoport 1 mg,Yes,2/06/2015,0,15,39
Adoport 1 mg,Yes,3/06/2015,-6,15,48
Adoport 1 mg,Yes,4/06/2015,-14,15,49
Adoport 1 mg,Yes,5/06/2015,-9,10,50
Adoport 1 mg,Yes,6/06/2015,-13,5,42
Adoport 1 mg,Yes,7/06/2015,-11,10,41
